sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
Et il sen appareille tout maintenant  et monte sor le cheual  et dist a son oste 	e Lançarote se armo  e subio enel cauallo  e dixo asu huesped 	et il sappareille  et monte a cheual  puis dist a son hoste 	et il sarme et monte en son cheual.  Puis dit a son oste quil sen retort  et il dit 	et il sen appareille  et mente sus le cheual 	et il s’en appareille  et monte en son cheval,  puis dist a son oste 	ed e'se n’aparecchia,  si monta in suo cavallo,  poscia dice a suo oste 
			que non fera. 			
quil sen retort quar iou connistera bien lez armes a celui 	que se tornase  No fare dixo el huesped 	quil sen retourne.  mais il dit 	Si ferois fait lanc̃.  Car ie quenoistrai bien ciax as armes 		qu’il s’en retort;  Imes il dist 	ch’elli si ritorni,  e que' dice che non farà. 
qui iou vois querant. 	si faredes 	que non fera  si ferez fait lancelot, 	que ie uois querant  en quel que lieu que ie les truisse. 		que non fera. «  Si ferois, 	Si farete, 
Etr cil dist 	dixo lançarote 	car ie cognoistray bien les armes de ceulx 	et cil dit 		fet Lancelos 	disse Lancellotto, 
que dont sen retornera il  puis quil le veult. 	que yo conoçere  vien el cauallero enlas armas  que lleba en qualquier lugar  que el vaya 	que ie uoys querant en quelque lieu  que ie les trouue. 	puis quil le ueit il sen retornera. 	et fait retourner son hoste 	a lar je conoistrai bien les armes a celui  que je vois querant en quelque lieu je les truisse.  Et cil dist,  puis qu’il velt, 	ch’io conoscerò bene l’armi di colui  a cui io vo cheggendo  in quale che luogo  ch’io il trovasse». 
						VE que' dice che, 
						poscia ch’elli vuole, 
Si sen retorne atant  et enmaine aueques lui le cheualier  qui moult est lies  de ce que lancelot!  doit. j. guerredon.  Et lancelot si acuelle son chemin 	yo me tornare  dixo el huesped  pues vos plaz  E luego se torno  e llebo consigo el cauallero  quelas armas auia dado a lançarote  que yua muy alegre  de aquello 	Et il dit  quil retournera puis quil le ueult.  si sen ua et emmaine auec luy le cheualier  qui est moult lie  de ce que lancelot luy doit ung. guerdon.  Et lancelot preut son chemin apres ceulx 	Si sen ua et enmainne le cheualier auecque lui.  qui mout est liez de ce que lanc̃ li doit guerredoner.  Et lanc̃ aquiet son chemin apres ciax 	et prent congie de luy.  lancelot print son chemin apres ceulx 	s’en retornera:  si s’en vet et enmaine o lui le chevalier  qui molt est liés  de ce que Lancelos li doit I. guerredon.  Et Lancelos aquelt son chemin aprés cels 	ch’elli si tornerà:  si se ne va  e mena con esso lui il cavaliere  che molto est lieto  di ciò che Lancellotto gli dee uno guiderdone.  E Lancellotto accoglie suo camino apresso coloro che seguita, 
por aler apres chiaus quil sieut.  Tant quil est uenus el tertre en haut. 	que lançarote le auia prometido  e lançarote se fue porel camino enpos el cauallero  e andubo tanto  fasta que paso porel otero 	quil suyt  tant quil est uenu ou tertre en hault. 	que il sieut.  tant que il est uenus el haut tertre. 	qui sen uont tant quil est uenu eu tertre en hault/ 	que ? il sieut  tant qu’il est venus el tertre en haut 	tanto ch’egli è Purchél penurche .  Vjenhaj via venuto al poggio in alti.  Allora isguarda davanti lui, 
Et lors uoit deuant lui la forest dez. iij. perieus:. 	e llego avna floresta  que llamauan la floresta delos tres pilares 	Et lors uoit deuant luy la fourest  quon appelle la fourest des troys perilz. 	et lors uoit deuant lui la forest des trois perilx. 	et lors uoit deuant luy la forest des trois perilz 	et lors voit devant lui la forest  que l’en apele la forest des Trois Perilx, 	si vide la foresta  che l’uomo chiama la foresta de' Tre Perigli, 
Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant. 	e porque fue ella asi llamada este cuento lo deuisara aca adelante 	Et pour quoy elle fu ansi appellec uous deuisera bien le comte cy apres. 	et ce porquoi ele fu ainsi apelee  ce deuissera li contes sa auant. 	et ce pour quoy elle est ainsy appellee deuisera bien le compte cy en auant. 	et ce por quoi ele fu ensi apelee  devisera bien li contes ça avant. 	e ciò perch’ella fu insi chiamata  vo diviserà il conto ben qua avanti. 
Quant lancelot fu amont el tertre  si regarda deuant lui  mais il ni uit nul de ceaus  que il queroit 	Quando el llego ala floresta  e no vido aquel enpos quien yua e fue  entonçe porende muy triste 	Quant il fu amont ou tertre  si regarde deuant luy.  et il ne uoit nul de ceulx  quil queroit. 	Quant lanc̃. fu amon el tertre si regarde  Mais il ne uoit deuant lui nus de ciax  que il guiert. 	QUant il fust amonlt eu tertre  si regarde deuant luy 	Quant il fu amont el tertre,  si esgarde devant lui,  mais il ne voit nul de cels  que il queroit, 	Sl oQuand’e fu montato nel poggio,  si isguarda davanti lui.  ma elli non vide nullo di quelli  ch’elli chiedea, 
quar il sestoient ia feru en la forest.  Et toutes voies sieut il lez esclos dez cheuaus 	entonçe encontro vna donçella  envn muy fermoso palafren  que hera toda cana  e lleuaua los cauellos tendidos	car ilz sestoient ia feruz en la foueest.  a touteuoyes suyt il les escloz Des cheuaux 	Car il cestoient ia feru en la forest.  et totesuoiez sieut il les escloz des cheuaus. 	et suyst les pas des cheuaulx 	kar il s’estoient ja ferus en la forest.  Et totes voies sieut il les esclos des chevals 	ché s’erano già messi nella foresta.  E nonperquanto tuttavia segue elli li scrosci de' cavalli 
tant quil est uenus a lentree de la ; forest.  Et lors encontra vne damoisele toute kenue 	porlas espaldas 	tant quil uient a lentree  Et lors encontra une dame toute chenue 	tant que il uient en lentree  et lors encontre une dame tote chenuee. 	tant quil uint a lentree de la forest/  et lors encentra une damoiselle toute chanue 	tant que il vient a l’entree de la forest;  et lors encontre une damoisele tote chenue 	tanto ch’egli è venuto all’entrata della foresta.  Allora incontrò elli una dama tutta canuta 
qui cheualchoit moult noblement.  et auoit sez treches toutes desloies par sez espaulles comme pucele. 	como si fuese muy moça 	qui cheuauchoit moult cointement.  et estoit toute desliee les treces sur les espaules comme pucelle. 	qui cheuauchyt mout coitement.  et ert tote desliie.ses tresces par ses espaules comme pucele. 	qui cheuauchoit menlt coinctement toute descheuelee/ ses tresches entre ses espaulles  comment une pucelle 	qui chevalchoit molt cointement  et estoit tote deslie,  ses treces par ses espaules comme pucele 	che cavalcava molto contamente,  suo capelli isparti per sue spalle com’una pulcella, 
Et auoit en son chief chapel de roses  quar ce estoit entor la saint iehan : 	e traia vn capillejo de Rosas enla cabeça  Ca hera entonçe por sant juan 	et auoit en son chef ung chapel de soucique  car cestoit entour la saint iehan 	et auoit en son chief un chapelat de rosez.  Car cestoit Entor la feste saint iehen. 	et auoit sur son chief ung chapiau de roses/ 	et avoit en son chief l. chapel de roses,  kar c’estoit entor la Saint Johan. 	e avea in suo capo uno capello di rose,  ché ciò era intorno il Santo Giovanni. 
Il le salue maintenant  quil la uit. 	e lançarote lo saluo 	Il la salue. 	Il la salue 	il la sallue 	Il le salue 	Elli saluta 
Et elle dist  que diex li donnast boine auenture. 	e ella lo torno sus saludes 	et elle luy dist  que bonne auanture luy doint dieu damoisele 	et ele li dist  que bone auauture li doint diex. 	et elle luy dist que bonne aduanture luy dennast dieu damoiselle 	et ele li dist  que bone aventure li doinst Diex. «  Damoisele, 	ed ella gli dice  che buona aventura gli doni lddio.  Dama, 
Damsolisele fait sil me sauries vous enseignier 	Donçella dixo lançarote  saberme yades enseñar 	fait il me scauriez uous a dire 	Dame fait lanc̃.  me saurrez uos adire 		fet il,  me savriés vos a dire 	disse Lancellotto,  mi sapreste vo' dire 
quel part vns cheualiers sen uait  qui porte vnes armes uermeilles. 	por do va vn Cauallero devnas armas bermejas 	quelle part sen ua ung cheualier a unes armes uermeilles	quel part uns cheualiers a unes armes uermeilles sen ua. 	fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles. 	quel part uns chevaliers o unes armes vermeilles s’en vet ? — 	in quale parti uno cavaliere a une armi vermiglie se ne va? 
						—Al nome di Dio, 
					En non Diex, 	
Enon dieu fait elle iou le vous enseigneroie bien  se iou voloie.  Dites le moi fait il par tel couuent 	Por dios dixo ella  yo voslo enseñare bien  si quisiere  dezidme  dixo lançarote  Por tal conuenençia 	Certes fait elle  ie le uous enseigneroye bien si ie uouloye.  Dictez le moy fait il par conuent 	En nodieu fait ele ie le uos ensangneroie bien ce ie uoloie.  Dites le moi fut il par couent 	Eu nom dieu fait elle  se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant 	fet ele,  je le vos enseigneroie bien,  se je voloie. —  Dites le moi,  fet il, 	diss’ella,  il voi insegnerei bene,  s’i' volesse. —  Ditelme,  disse Lancellotto, per convento 
					par covent 	
que iou soie vos cheualiers el premier lieu ou vous me requerres. 	que yo sea vuestro cauallero enel Primer lugar  que me rrequerades 	que ie soye uostre cheualier ou premier lieu  que uous me requerrez. 	que ie soie uostres cheualiers el premier lieu ou ie buos trouerai. 	que ie soie uostre cheualier au premier lieu  que uous me requerres/ 	que je soie vostre chevaliers el premier lieu  ou vos me requerrois. — 	che sia vostro cavaliere nel primaio luogo  che vo me ne richiederete. 
Se vous me creantes fait elle 	Si vosme jurades  dixo la donçella 	Se uous me creancez fait elle 	Se uous me uoles creanter 	se uous me promettes 	Se vos me creantés,  fet ele, 	—?Se vo' mi giurate,  disse la vecchia, 
que vous me sieurres el premier lieu  ou iou vous en semondrai. 	que vayades conmigo luego  enla ora que vos llamare 	que uous me suyurez a quelque heure  que ie uous semondray. 	que uos me siere de quel hore que ie uus en semongne ; 	que au pre/ mier lieu ou ie uous requesray uous me aideres ie uous lenseigneray/ 	que vos me sievrois de quel hore  que vos en semoigne, 	che vo'mi seguirete di qualche ora  ch’i vo ne riglia, 
iou le vous enseignerai. 	yo voslo mostrare 	ie le uous enseigneray. 	ie le uos en sangnerai. 		je le vos enseignerai. »	io il vo insegnerò». 
Et il li creante maintenant :  dont il fu puis corocies  et moult se repenti tele heure fu.  Ore ales fait elle tout chest chemin 	e lanzarote lo juro  luego donde el se arrepintio  despues muy duramente tal ora fue  Vos yredes  poreste camino dixo la donzella 	Et il luy creance.  dont il se repenty puis moult fort.  Se allez fait elle tout ce chenin. 	et il li creante.  dont il se repanti  puis mout durement tel hore fu.  Or uos en alez fait ele par ci 	et il luy promet/ denc depuys sen repentist/  Or alles fait elle tout ce chemyn en trauers de la forest sans tourner de nulle part. 	Et cil li creante,  dont il se repenti  puis molt durement tel hore fu. «  Or alés,  fet ele,  tot cest chemin», 	Ed e' lel giura immantanente,  donde si penté  poscia duramente tale ora fu.  “Or andate, diss’ella,  tutto questo camino», 
si li moustre. j. sentier estroit  qui aloit dentrauers la forest. 	fasta que falledes vn sendero atrauieso dela floresta 	si luy monstre ung sentier moult estroit  qui aloit a trauers de la fourest.  et luy dist 	si li mostre .i. estroit santier  qui aloit outre uers de la forest. 		si li mostre I. sentier estroit  qui aloit al travers de la forest. « 	si gli mostra uno sentieri stretto  ch’andava in traverso della foresta, 
si ne tornes nulle part. 	e entonçe tomaredes aquel sendero 	quil ne tourne ca ne la. 	Si ne tornez de nule part. 		Si ne tornés,  fet ele, de nule part 	«sì non vi volgete,  diss’ella, 
Et quant vous aures erre demie lieue.  si troueres. iiij. pauellons sor. j. uiuier tendus. 	e desque hubieredes porel andado  quanto vna legua fallaredes  antevn nogal tres tiendas Armadas 	Et quent uous serez fait elle alle entour demye lieue si uerrez de la ung mont quatre paueillons tenduz. 	et quant uos aures ale entor demie lieue :  si uerres delez .i. uanier aux pauillons tandus. 	Quant uous aures cheuauche enuiron demye lieue si uerres de les une riuiere trois pauillons 	et quant vos avrois alé entor demie lieue,  si verrois delés I. vivier trois paveillons tendus. 	i'nulla  parte,Se quando voi arete andato intorno a meza lega,  si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti: 
et la dedens troueres le cheualier 	e enla vna dellas fallaredes el Cauallero 	La dedans trouuerez le cheualier 	La dedens troueres le cheualier 	la dedens trouueres le cheualier 	La dedens troverois le chevalier 	di dentro troverete il cavaliere 
que vous queres  que on apele atramant le gros.  si le connistres a ces enseignes 	que buscades aque llaman aramante el grueso  e vos lo conoçeredes  porestas señales 	que uous querez  que len appelle arramant le grec.  si le cognoistrez a ces enseignes 	que uos queres  que len apele arramant le gros.  Si le quenoistres a ses ansangnes 	que uous demandes  et len lappelle arrement le gras et le cengnoistres a telles enseignes 	que vos querés  que l’en apele Arramant le Gros;  si le conoistrois a ces enseignes 	che vo' chiedete,  che l’uomo chiama Aramonte il Grosso,  si 'l conoscerete a queste insegne, 
quil a en mi le front. ij. plaies.  Or vous en poes aler fait elle  mais que vous me dites vostre non.  Et il se nomme moult a enuis.  mais toutes voies li dist il  quil a a non lancelot del lac.  A tant sen uait lancelot tout le chemin 	en medio dela frente  ados llagas  agora vos podedes yr  mas anteme deçid  como auedes nombre  e el se nombro mucho amidos  e dixo yo he nombre  Lançarote del lago  Lançarote  se partio luego dela donçella  e fuese Porel camino 	quil a deux playes enmy le front.  Se uous en pouez aller  mais que uous mayez dit uostre nom.  Et il se nomme a moult grant peine.  Et toutesuoyes luy dit il  quil a nom lancelot du lac.  Et il sem part a tant  et sen uait tout le chemin 	quil a el fronc .ii. plaieez.  Or uos en poez aler mais que uos mauez dit uostre non.  et il se nome mout a enuiz  et totesuoiez dit il  quil a non lanc̃ del lac.  si sen part atant.  et sen ua tout le chemin 	quil ha deux playes au frent/ or uous en poues aller  mes que mayes dist uostre nen/  et il se nomme monlt enuiz  et dist quil a a nen lancelot du lac.  A tant sen ua lancelot tout le chemyn 	qu’il a en mi le front II. plaies.  Or vos en poés aler,  mais que vos m’aiés dit vostre nom. »  Et il se nome molt a envis et totes voies li dist  qu’il a non Lancelot del Lac. «  Alez a Dieu »,  fet ele.  Atant s’en part  et s’en vet tot le chemin 	ch’egli à nel miluogo del viso due colpi.  Or vo ne potete andare,  ma' che vo' m’abiate detto vostro nome».  Ed e' si noma molto ad invidia, 
